feature,importance
physiology_scl,0.1523886290151803
computer_snkeystrokes,0.07729379704526902
computer_snchars,0.07387294754333919
computer_snspecialkeys,0.07227426900998457
computer_snmouseact,0.07128896316961045
computer_snleftclicked,0.06279550575980757
computer_snappchange,0.06269522470485231
computer_snspaces,0.05926690389445354
computer_snerrorkeys,0.05819078974176974
computer_snwheel,0.047365860119714887
physiology_hr,0.04399097239389727
computer_sntabfocuschange,0.043105469776668626
physiology_rmssd,0.041474116026779244
computer_sndragged,0.03959973989195043
computer_sndirectionkeys,0.027883333557039237
computer_snshortcutkeys,0.027774877929251037
computer_sndoubleclicked,0.021782234387319795
computer_snrightclicked,0.016956366033112832
physiology_unnamed:_9,0.0
computer_unnamed:_20,0.0
